date,Revenue,Traffic,Conversion Rate,Orders
2024-09-19,112500,44500,2.7,1202
2024-09-20,110200,43800,2.65,1161
2024-09-21,108900,43200,2.62,1132
2024-09-22,107300,42900,2.6,1115
2024-09-23,109800,43500,2.63,1144
2024-09-24,111400,44000,2.66,1170
2024-09-25,113200,44800,2.68,1201
2024-09-26,114600,45200,2.7,1220
2024-09-27,113900,44900,2.69,1208
2024-09-28,112300,44400,2.67,1186
2024-09-29,109700,43800,2.63,1153
2024-09-30,104900,43000,2.55,1097
2024-10-01,100000,42000,2.6,1092
2024-10-02,84230,41800,2.1,878
